"date","BTC","ETH","BNB","SOL","XRP","ADA"
2023-04-17,29445.044921875,2076.24291992188,339.994110107422,24.5588455200195,0.51112699508667,0.434166997671127
2023-04-18,30397.552734375,2104.53735351562,343.193450927734,24.852689743042,0.532263994216919,0.443751990795135
2023-04-19,28822.6796875,1936.40344238281,322.70751953125,22.7128353118896,0.49159899353981,0.415793001651764
2023-04-20,28245.98828125,1943.09765625,317.889923095703,22.1814403533936,0.474857985973358,0.40073099732399
2023-04-21,27276.91015625,1849.99987792969,321.674987792969,21.2781352996826,0.449396014213562,0.382939010858536
2023-04-22,27817.5,1874.22863769531,331.995086669922,21.8162879943848,0.47266098856926,0.396153002977371
2023-04-23,27591.384765625,1862.06201171875,330.618835449219,21.4801387786865,0.465016007423401,0.388999998569489
2023-04-24,27525.33984375,1842.75744628906,331.245880126953,21.3910694122314,0.461273014545441,0.383915990591049
2023-04-25,28307.59765625,1866.75366210938,338.325561523438,21.9272537231445,0.469994992017746,0.394919008016586
2023-04-26,28422.701171875,1866.56420898438,330.82177734375,21.2830123901367,0.462036997079849,0.40149798989296
2023-04-27,29473.787109375,1908.78637695312,331.195098876953,22.3401145935059,0.466868013143539,0.409842997789383
2023-04-28,29340.26171875,1892.51281738281,324.500244140625,23.3662872314453,0.480271011590958,0.404931992292404
2023-04-29,29248.48828125,1908.9169921875,322.134735107422,23.1829967498779,0.478408992290497,0.402783989906311
2023-04-30,29268.806640625,1876.92431640625,337.645538330078,22.8320140838623,0.472332000732422,0.397354006767273
2023-05-01,28091.568359375,1831.95483398438,328.724212646484,21.9866333007812,0.464965999126434,0.386857002973557
2023-05-02,28680.537109375,1870.78930664062,321.952697753906,22.2649784088135,0.464951008558273,0.391772985458374
2023-05-03,29006.30859375,1904.65185546875,326.212890625,22.2180023193359,0.463494002819061,0.39394199848175
2023-05-04,28847.7109375,1877.7041015625,323.917144775391,21.7303485870361,0.461573004722595,0.387448012828827
2023-05-05,29534.384765625,1995.06091308594,326.940307617188,22.8261108398438,0.467799991369247,0.394683986902237
2023-05-06,28904.623046875,1900.22180175781,322.774017333984,21.9742622375488,0.459549009799957,0.380118995904922
2023-05-07,28454.978515625,1873.07641601562,321.611053466797,21.8442287445068,0.450363993644714,0.376906007528305
2023-05-08,27694.2734375,1849.04272460938,313.971221923828,20.6574630737305,0.428914994001389,0.365828007459641
2023-05-09,27658.775390625,1848.60314941406,312.513702392578,20.6836452484131,0.429888010025024,0.363806009292603
2023-05-10,27621.755859375,1842.40148925781,314.577453613281,20.9537105560303,0.43087300658226,0.369937002658844
2023-05-11,27000.7890625,1796.49060058594,307.695831298828,20.2348804473877,0.4218789935112,0.360038995742798
2023-05-12,26804.990234375,1808.01977539062,308.603118896484,20.9117946624756,0.430718004703522,0.370463013648987
2023-05-13,26784.078125,1796.11486816406,311.086883544922,20.8687610626221,0.424903005361557,0.365031003952026
