"date","ticker","open","high","low","close","volume","adjusted"
2024-06-06,"ADA",0.461174994707108,0.46186500787735,0.452338993549347,0.458101987838745,281512944,0.458101987838745
2024-06-07,"ADA",0.458099991083145,0.488436013460159,0.434422999620438,0.449642986059189,864294102,0.449642986059189
2024-06-08,"ADA",0.449638992547989,0.449638992547989,0.433454006910324,0.436571002006531,384756660,0.436571002006531
2024-06-09,"ADA",0.43655601143837,0.445719003677368,0.433257013559341,0.444106012582779,331925354,0.444106012582779
2024-06-10,"ADA",0.444101005792618,0.450087994337082,0.436026990413666,0.440461009740829,477499641,0.440461009740829
2024-06-11,"ADA",0.440465003252029,0.440937995910645,0.414530992507935,0.421891003847122,600659902,0.421891003847122
2024-06-12,"ADA",0.421900987625122,0.443805009126663,0.415993005037308,0.437795996665955,451504328,0.437795996665955
2024-06-13,"ADA",0.437817990779877,0.438643008470535,0.419752985239029,0.421184986829758,385849589,0.421184986829758
2024-06-14,"ADA",0.421178013086319,0.424120992422104,0.403409987688065,0.411682993173599,370827765,0.411682993173599
2024-06-15,"ADA",0.41168600320816,0.415051013231277,0.408904999494553,0.413695007562637,209246354,0.413695007562637
2024-06-16,"ADA",0.413724005222321,0.41812801361084,0.410104990005493,0.416379004716873,172902870,0.416379004716873
2024-06-17,"ADA",0.416388005018234,0.419986993074417,0.393655002117157,0.40175798535347,385694374,0.40175798535347
2024-06-18,"ADA",0.401726007461548,0.402215987443924,0.366576999425888,0.38357999920845,593952964,0.38357999920845
2024-06-19,"ADA",0.383565008640289,0.397249013185501,0.380962014198303,0.383790999650955,295424813,0.383790999650955
2024-06-20,"ADA",0.383790999650955,0.396789997816086,0.379013985395432,0.384243994951248,286206619,0.384243994951248
2024-06-21,"ADA",0.384247988462448,0.390341997146606,0.374608010053635,0.376051992177963,272257203,0.376051992177963
2024-06-22,"ADA",0.376051008701324,0.389591991901398,0.37193700671196,0.384811997413635,241766850,0.384811997413635
2024-06-23,"ADA",0.384793996810913,0.392295002937317,0.380302995443344,0.380302995443344,202392727,0.380302995443344
2024-06-24,"ADA",0.380225002765656,0.380899995565414,0.366663008928299,0.377764999866486,385357807,0.377764999866486
2024-06-25,"ADA",0.377754986286163,0.396733999252319,0.377366989850998,0.391858994960785,262214296,0.391858994960785
2024-06-26,"ADA",0.391860991716385,0.39453399181366,0.383733004331589,0.384750008583069,258516129,0.384750008583069
2024-06-27,"ADA",0.384750992059708,0.393204003572464,0.378069013357162,0.390700995922089,254822331,0.390700995922089
